sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[ 157s] threads: 1, tps: 40.00, reads: 555.04, writes: 0.00, response time: 28.93ms (95%), errors: 0.00, reconnects:  0.00
[ 158s] threads: 1, tps: 41.00, reads: 579.01, writes: 0.00, response time: 27.00ms (95%), errors: 0.00, reconnects:  0.00
[ 159s] threads: 1, tps: 41.00, reads: 573.99, writes: 0.00, response time: 27.86ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 42.00, reads: 581.94, writes: 0.00, response time: 28.48ms (95%), errors: 0.00, reconnects:  0.00
[ 161s] threads: 1, tps: 39.00, reads: 555.06, writes: 0.00, response time: 29.86ms (95%), errors: 0.00, reconnects:  0.00
[ 162s] threads: 1, tps: 39.00, reads: 544.01, writes: 0.00, response time: 33.33ms (95%), errors: 0.00, reconnects:  0.00
[ 163s] threads: 1, tps: 40.00, reads: 558.99, writes: 0.00, response time: 28.91ms (95%), errors: 0.00, reconnects:  0.00
[ 164s] threads: 1, tps: 40.00, reads: 557.94, writes: 0.00, response time: 28.18ms (95%), errors: 0.00, reconnects:  0.00
[ 165s] threads: 1, tps: 42.00, reads: 590.06, writes: 0.00, response time: 26.75ms (95%), errors: 0.00, reconnects:  0.00
[ 166s] threads: 1, tps: 40.00, reads: 554.02, writes: 0.00, response time: 29.26ms (95%), errors: 0.00, reconnects:  0.00
[ 167s] threads: 1, tps: 38.00, reads: 540.99, writes: 0.00, response time: 30.70ms (95%), errors: 0.00, reconnects:  0.00
[ 168s] threads: 1, tps: 42.00, reads: 575.94, writes: 0.00, response time: 27.79ms (95%), errors: 0.00, reconnects:  0.00
[ 169s] threads: 1, tps: 42.00, reads: 599.06, writes: 0.00, response time: 26.06ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1, tps: 42.00, reads: 586.01, writes: 0.00, response time: 26.91ms (95%), errors: 0.00, reconnects:  0.00
[ 171s] threads: 1, tps: 39.00, reads: 540.99, writes: 0.00, response time: 33.46ms (95%), errors: 0.00, reconnects:  0.00
[ 172s] threads: 1, tps: 40.00, reads: 555.94, writes: 0.00, response time: 29.07ms (95%), errors: 0.00, reconnects:  0.00
[ 173s] threads: 1, tps: 40.00, reads: 565.05, writes: 0.00, response time: 30.02ms (95%), errors: 0.00, reconnects:  0.00
[ 174s] threads: 1, tps: 38.00, reads: 539.01, writes: 0.00, response time: 28.51ms (95%), errors: 0.00, reconnects:  0.00
[ 175s] threads: 1, tps: 41.00, reads: 565.00, writes: 0.00, response time: 30.24ms (95%), errors: 0.00, reconnects:  0.00
[ 176s] threads: 1, tps: 41.00, reads: 582.94, writes: 0.00, response time: 26.43ms (95%), errors: 0.00, reconnects:  0.00
[ 177s] threads: 1, tps: 41.00, reads: 571.06, writes: 0.00, response time: 28.07ms (95%), errors: 0.00, reconnects:  0.00
[ 178s] threads: 1, tps: 43.00, reads: 605.01, writes: 0.00, response time: 25.96ms (95%), errors: 0.00, reconnects:  0.00
[ 179s] threads: 1, tps: 43.00, reads: 592.99, writes: 0.00, response time: 27.56ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1, tps: 41.00, reads: 580.96, writes: 0.00, response time: 25.92ms (95%), errors: 0.00, reconnects:  0.00
[ 181s] threads: 1, tps: 42.00, reads: 589.04, writes: 0.00, response time: 28.00ms (95%), errors: 0.00, reconnects:  0.00
[ 182s] threads: 1, tps: 40.00, reads: 561.01, writes: 0.00, response time: 28.64ms (95%), errors: 0.00, reconnects:  0.00
[ 183s] threads: 1, tps: 46.00, reads: 635.99, writes: 0.00, response time: 24.55ms (95%), errors: 0.00, reconnects:  0.00
[ 184s] threads: 1, tps: 45.00, reads: 633.96, writes: 0.00, response time: 24.89ms (95%), errors: 0.00, reconnects:  0.00
[ 185s] threads: 1, tps: 44.00, reads: 608.04, writes: 0.00, response time: 25.64ms (95%), errors: 0.00, reconnects:  0.00
[ 186s] threads: 1, tps: 41.00, reads: 583.01, writes: 0.00, response time: 27.67ms (95%), errors: 0.00, reconnects:  0.00
[ 187s] threads: 1, tps: 41.00, reads: 577.99, writes: 0.00, response time: 32.84ms (95%), errors: 0.00, reconnects:  0.00
[ 188s] threads: 1, tps: 45.00, reads: 626.94, writes: 0.00, response time: 26.51ms (95%), errors: 0.00, reconnects:  0.00
[ 189s] threads: 1, tps: 44.00, reads: 614.05, writes: 0.00, response time: 25.07ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1, tps: 42.00, reads: 587.02, writes: 0.00, response time: 26.85ms (95%), errors: 0.00, reconnects:  0.00
[ 191s] threads: 1, tps: 45.00, reads: 629.99, writes: 0.00, response time: 25.46ms (95%), errors: 0.00, reconnects:  0.00
[ 192s] threads: 1, tps: 45.00, reads: 634.00, writes: 0.00, response time: 25.04ms (95%), errors: 0.00, reconnects:  0.00
[ 193s] threads: 1, tps: 45.00, reads: 622.00, writes: 0.00, response time: 25.53ms (95%), errors: 0.00, reconnects:  0.00
[ 194s] threads: 1, tps: 45.00, reads: 636.01, writes: 0.00, response time: 25.27ms (95%), errors: 0.00, reconnects:  0.00
[ 195s] threads: 1, tps: 39.00, reads: 548.99, writes: 0.00, response time: 28.25ms (95%), errors: 0.00, reconnects:  0.00
[ 196s] threads: 1, tps: 43.00, reads: 601.94, writes: 0.00, response time: 25.58ms (95%), errors: 0.00, reconnects:  0.00
[ 197s] threads: 1, tps: 42.00, reads: 588.06, writes: 0.00, response time: 26.83ms (95%), errors: 0.00, reconnects:  0.00
[ 198s] threads: 1, tps: 45.00, reads: 630.01, writes: 0.00, response time: 25.39ms (95%), errors: 0.00, reconnects:  0.00
[ 199s] threads: 1, tps: 43.00, reads: 601.99, writes: 0.00, response time: 25.59ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1, tps: 44.00, reads: 612.93, writes: 0.00, response time: 28.28ms (95%), errors: 0.00, reconnects:  0.00
[ 201s] threads: 1, tps: 42.00, reads: 589.06, writes: 0.00, response time: 28.45ms (95%), errors: 0.00, reconnects:  0.00
[ 202s] threads: 1, tps: 41.00, reads: 576.01, writes: 0.00, response time: 28.11ms (95%), errors: 0.00, reconnects:  0.00
[ 203s] threads: 1, tps: 43.00, reads: 592.03, writes: 0.00, response time: 26.30ms (95%), errors: 0.00, reconnects:  0.00
[ 204s] threads: 1, tps: 40.99, reads: 576.91, writes: 0.00, response time: 27.41ms (95%), errors: 0.00, reconnects:  0.00
[ 205s] threads: 1, tps: 41.00, reads: 580.06, writes: 0.00, response time: 27.03ms (95%), errors: 0.00, reconnects:  0.00
[ 206s] threads: 1, tps: 43.00, reads: 599.01, writes: 0.00, response time: 26.51ms (95%), errors: 0.00, reconnects:  0.00
