sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[  71s] threads: 1, tps: 52.00, reads: 721.00, writes: 0.00, response time: 21.54ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 1, tps: 50.00, reads: 707.02, writes: 0.00, response time: 22.19ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 1, tps: 51.00, reads: 712.96, writes: 0.00, response time: 21.94ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 1, tps: 49.00, reads: 688.02, writes: 0.00, response time: 21.47ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 1, tps: 50.00, reads: 697.98, writes: 0.00, response time: 21.87ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 1, tps: 50.00, reads: 703.04, writes: 0.00, response time: 22.06ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 1, tps: 49.00, reads: 685.96, writes: 0.00, response time: 22.15ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 1, tps: 51.00, reads: 714.02, writes: 0.00, response time: 21.44ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 1, tps: 50.99, reads: 710.93, writes: 0.00, response time: 21.68ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 47.01, reads: 656.09, writes: 0.00, response time: 23.35ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 1, tps: 51.00, reads: 707.96, writes: 0.00, response time: 22.21ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 1, tps: 49.00, reads: 694.02, writes: 0.00, response time: 21.74ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 1, tps: 50.00, reads: 691.94, writes: 0.00, response time: 22.28ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 1, tps: 50.01, reads: 708.09, writes: 0.00, response time: 21.75ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 1, tps: 50.00, reads: 692.95, writes: 0.00, response time: 22.04ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 1, tps: 50.00, reads: 705.03, writes: 0.00, response time: 22.09ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 1, tps: 49.00, reads: 682.97, writes: 0.00, response time: 22.05ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 1, tps: 49.00, reads: 687.05, writes: 0.00, response time: 23.19ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 1, tps: 51.00, reads: 718.97, writes: 0.00, response time: 21.86ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 48.00, reads: 666.03, writes: 0.00, response time: 22.72ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 1, tps: 49.99, reads: 706.92, writes: 0.00, response time: 21.27ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 1, tps: 50.01, reads: 701.09, writes: 0.00, response time: 21.61ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 1, tps: 52.00, reads: 726.95, writes: 0.00, response time: 21.37ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 1, tps: 53.00, reads: 740.03, writes: 0.00, response time: 20.80ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 1, tps: 50.00, reads: 702.98, writes: 0.00, response time: 21.64ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 1, tps: 52.00, reads: 716.05, writes: 0.00, response time: 21.37ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 1, tps: 51.00, reads: 725.95, writes: 0.00, response time: 21.56ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 1, tps: 50.00, reads: 689.02, writes: 0.00, response time: 22.62ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 1, tps: 52.00, reads: 730.99, writes: 0.00, response time: 21.00ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 49.00, reads: 693.03, writes: 0.00, response time: 22.11ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 1, tps: 47.00, reads: 657.96, writes: 0.00, response time: 21.71ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 1, tps: 49.00, reads: 687.03, writes: 0.00, response time: 22.60ms (95%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 1, tps: 51.00, reads: 703.95, writes: 0.00, response time: 21.79ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 1, tps: 49.00, reads: 695.07, writes: 0.00, response time: 21.38ms (95%), errors: 0.00, reconnects:  0.00
