sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[  65s] threads: 1, tps: 271.96, reads: 3806.50, writes: 0.00, response time: 4.00ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 1, tps: 286.04, reads: 4003.55, writes: 0.00, response time: 3.83ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 1, tps: 285.01, reads: 4004.09, writes: 0.00, response time: 3.80ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 1, tps: 273.99, reads: 3830.91, writes: 0.00, response time: 4.48ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 1, tps: 277.00, reads: 3870.04, writes: 0.00, response time: 4.05ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 274.00, reads: 3845.97, writes: 0.00, response time: 3.98ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 1, tps: 281.00, reads: 3929.04, writes: 0.00, response time: 3.90ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 1, tps: 141.00, reads: 1980.97, writes: 0.00, response time: 3.53ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 1, tps: 252.97, reads: 3534.56, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 1, tps: 275.03, reads: 3854.46, writes: 0.00, response time: 4.09ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 1, tps: 283.00, reads: 3966.07, writes: 0.00, response time: 3.92ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 1, tps: 283.99, reads: 3966.90, writes: 0.00, response time: 3.88ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 1, tps: 275.97, reads: 3868.56, writes: 0.00, response time: 4.00ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 1, tps: 265.04, reads: 3711.51, writes: 0.00, response time: 4.30ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 1, tps: 282.00, reads: 3949.05, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 278.99, reads: 3893.90, writes: 0.00, response time: 4.11ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 1, tps: 271.96, reads: 3807.51, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 1, tps: 279.04, reads: 3919.56, writes: 0.00, response time: 3.99ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 1, tps: 288.00, reads: 4031.04, writes: 0.00, response time: 3.76ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 1, tps: 274.99, reads: 3840.92, writes: 0.00, response time: 4.08ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 1, tps: 277.00, reads: 3889.04, writes: 0.00, response time: 4.15ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 1, tps: 285.00, reads: 3988.95, writes: 0.00, response time: 3.99ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 1, tps: 219.00, reads: 3063.06, writes: 0.00, response time: 3.90ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 1, tps: 280.00, reads: 3915.96, writes: 0.00, response time: 3.91ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 1, tps: 277.00, reads: 3885.00, writes: 0.00, response time: 4.11ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 278.00, reads: 3882.01, writes: 0.00, response time: 4.40ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 1, tps: 270.00, reads: 3781.00, writes: 0.00, response time: 4.19ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 1, tps: 273.00, reads: 3826.99, writes: 0.00, response time: 4.14ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 1, tps: 274.96, reads: 3854.50, writes: 0.00, response time: 4.20ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 1, tps: 272.03, reads: 3802.45, writes: 0.00, response time: 4.50ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 1, tps: 276.01, reads: 3856.09, writes: 0.00, response time: 3.96ms (95%), errors: 0.00, reconnects:  0.00
